u,v,w,p,q,r,phi,theta,psi,roll_ctrl,pitch_ctrl,yaw_ctrl,throttle_ctrl,E,N,U,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot,phi_dot,theta_dot,psi_dot,delta_a,delta_e,delta_r,delta_T,timestamp
54.9993,0.0100025,0.391459,-0.000476536,-0.000161323,0.000665709,0.0103527,0.0024694,1.54708,-0.00518245,-0.170582,0,0.535242,361030,4.43639e+06,2437.83,-0.00344186,0.0302224,0.00354682,-0.000777215,8.91787e-05,-0.000358417,-0.000474896,-0.000168206,0.000664005,0.0524866,0.876125,0.142658,0.767621,1613781480112570672
54.9992,0.0098923,0.391366,-0.000489642,-0.000159545,0.000659154,0.0103439,0.00246637,1.54709,-0.00518245,-0.170614,0,0.535257,361031,4.43639e+06,2437.83,-0.00328707,0.0301811,0.0038164,-0.000666488,0.000106724,-0.000363662,-0.00048802,-0.000166354,0.00065747,0.0524967,0.876117,0.142665,0.767628,1613781480122637062
54.9992,0.0098923,0.391366,-0.000489642,-0.000159545,0.000659154,0.0103439,0.00246637,1.54709,-0.00519327,-0.170605,0,0.535516,361031,4.43639e+06,2437.83,-0.00328707,0.0301811,0.0038164,-0.000666488,0.000106724,-0.000363662,-0.00048802,-0.000166354,0.00065747,0.0524967,0.876117,0.142665,0.767758,1613781480132614931
54.9991,0.00976061,0.391262,-0.00050392,-0.000161378,0.000651501,0.0103336,0.0024629,1.5471,-0.00519327,-0.170638,0,0.535533,361032,4.43639e+06,2437.83,-0.00309769,0.0301258,0.00395875,-0.000628428,-6.87355e-05,-0.000374191,-0.00050232,-0.000168102,0.000649801,0.0524078,0.876644,0.142681,0.767767,1613781480142601654
54.9991,0.00969855,0.391212,-0.000511524,-0.000159518,0.000647338,0.010328,0.00246107,1.54711,-0.00520498,-0.170586,0,0.535807,361032,4.43639e+06,2437.83,-0.0029414,0.0300726,0.00431515,-0.000664475,0.000169003,-0.000380453,-0.000509935,-0.000166195,0.000645658,0.0523053,0.876117,0.142694,0.767904,1613781480152659527
54.9991,0.00965221,0.391175,-0.000517556,-0.000158328,0.000644066,0.0103236,0.00245966,1.54712,-0.00521072,-0.170595,0,0.535958,361033,4.43639e+06,2437.83,-0.00288669,0.0300549,0.00435902,-0.000607724,0.000154218,-0.000386709,-0.000515976,-0.000164969,0.000642399,0.0522615,0.876201,0.142706,0.767979,1613781480162628243
54.999,0.0095983,0.391139,-0.000522753,-0.000157009,0.000640759,0.0103192,0.00245826,1.54712,-0.00521553,-0.170606,0,0.536077,361033,4.43639e+06,2437.83,-0.00279913,0.0300265,0.00447682,-0.000607724,0.000154218,-0.000386709,-0.000521182,-0.000163613,0.000639107,0.0522615,0.876201,0.142706,0.768039,1613781480172637432
54.999,0.00950983,0.391069,-0.000533749,-0.000155631,0.000633973,0.01031,0.00245545,1.54713,-0.00521998,-0.170618,0,0.536201,361034,4.43639e+06,2437.83,-0.00262365,0.0299682,0.00462281,-0.000590246,8.93788e-05,-0.000394568,-0.000532197,-0.000162159,0.000632337,0.0521844,0.876419,0.14272,0.7681,1613781480182634201
54.999,0.00950983,0.391069,-0.000533749,-0.000155631,0.000633973,0.01031,0.00245545,1.54713,-0.00522788,-0.170596,0,0.536417,361034,4.43639e+06,2437.83,-0.00262365,0.0299682,0.00462281,-0.000590246,8.93788e-05,-0.000394568,-0.000532197,-0.000162159,0.000632337,0.0521844,0.876419,0.14272,0.768209,1613781480192597003
54.9989,0.0094202,0.391005,-0.000543967,-0.000154191,0.000627288,0.010301,0.00245275,1.54714,-0.00522788,-0.170624,0,0.536443,361035,4.43639e+06,2437.83,-0.00244743,0.0299009,0.00480034,-0.000569561,9.3204e-05,-0.000399222,-0.000542433,-0.000160645,0.000625668,0.0521203,0.876465,0.142735,0.768221,1613781480202598902
